text,term_true,cat_true,pol_true,analysis
"i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !",['KEYBOARD'],['GENERAL'],['0'],"[{'category': 'Usability', 'aspect': 'Keyboard', 'segment': ""i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys"", 'sentiment': 'negative'}, {'category': 'Usability', 'aspect': 'Keyboard', 'segment': 'which is very unproductive when trying to take real - time notes in a meeting', 'sentiment': 'negative'}]"
"i know it only takes a few seconds , but a new device should not be doing this and makes me question if it ' ll get worse in the future .",['LAPTOP'],['GENERAL'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Device', 'segment': 'i know it only takes a few seconds', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Device', 'segment': 'but a new device should not be doing this', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Device', 'segment': ""makes me question if it ' ll get worse in the future"", 'sentiment': 'negative'}]"
"i also have to press the trackpad very hard for left click ( not as badly as the first unit , though ) , and i lost right click functionality on the track pad 2 days into my voyage with this thing .",['KEYBOARD'],['USABILITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Trackpad', 'segment': 'i also have to press the trackpad very hard for left click', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Trackpad', 'segment': 'i lost right click functionality on the track pad 2 days into my voyage with this thing', 'sentiment': 'negative'}]"
"i tried factory resetting after i updated the os , and it still drained 9 % over 8 hours .",['OS'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'i tried factory resetting after i updated the os , and it still drained 9 % over 8 hours', 'sentiment': 'negative'}]"
hdmi out doesn ' t work right .,['PORTS'],['QUALITY'],['0'],"[{'category': 'Connectivity', 'aspect': 'Ports', 'segment': ""hdmi out doesn ' t work right"", 'sentiment': 'negative'}]"
they had it over a week and then shipped back .,['SUPPORT'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Shipping', 'segment': 'they had it over a week and then shipped back', 'sentiment': 'negative'}]"
"i was excited to receive this chromebook , only to watch that excitement dissipate within mere hours as i noticed the touchscreen did n ' t work at all on tablet mode .",['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Touchscreen', 'segment': ""the touchscreen did n ' t work at all on tablet mode"", 'sentiment': 'negative'}]"
clearly there is some kind of major defect here that acer has n ' t resolved .,['COMPANY'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Acer', 'segment': 'major defect', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Acer', 'segment': ""has n ' t resolved"", 'sentiment': 'negative'}]"
i bought this for my daughter to use to take online classes while she ' s overseas in europe for a year .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'i bought this for my daughter to use to take online classes', 'sentiment': 'positive'}]"
decent sound quality .,['MULTIMEDIA_DEVICES'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Multimedia_Devices', 'segment': 'decent sound quality', 'sentiment': 'positive'}]"
flimsy power adapter .,['POWER_SUPPLY'],['GENERAL'],['0'],"[{'category': 'Connectivity', 'aspect': 'Power_Supply', 'segment': 'flimsy power adapter', 'sentiment': 'negative'}]"
wi - fi slows down to crowl and speeds back up intermittently .,['PORTS'],['QUALITY'],['0'],"[{'category': 'Connectivity', 'aspect': 'WiFi', 'segment': 'wi - fi slows down to crowl', 'sentiment': 'negative'}, {'category': 'Connectivity', 'aspect': 'WiFi', 'segment': 'speeds back up intermittently', 'sentiment': 'positive'}]"
regret buying it at times .,['LAPTOP'],['GENERAL'],['0'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'regret buying it at times', 'sentiment': 'negative'}]"
it just turned off and will not turn back on .,['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Power_Supply', 'segment': 'it just turned off and will not turn back on', 'sentiment': 'negative'}]"
"the product is great , but the customer support is horrible .","['LAPTOP', 'SUPPORT']","['GENERAL', 'GENERAL']","['2', '0']","[{'category': 'Quality', 'aspect': 'Support', 'segment': 'the customer support is horrible', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Product', 'segment': 'the product is great', 'sentiment': 'positive'}]"
called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help .,['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Support', 'segment': 'called support a second time', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Support', 'segment': 'after 10 minutes of verifying some type of info', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Support', 'segment': 'they told me to call google without even trying to help', 'sentiment': 'negative'}]"
"but i ' m getting into photography now , and it ' s terrible for loading , storing , and editing pictures .",['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Storage', 'segment': 'terrible for loading , storing , and editing pictures', 'sentiment': 'negative'}]"
i have sent it in twice already and waiting for it to come back .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Company', 'segment': 'i have sent it in twice already', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Company', 'segment': 'waiting for it to come back', 'sentiment': 'negative'}]"
the screen looked great .,['DISPLAY'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the screen looked great', 'sentiment': 'positive'}]"
"no matter how many times i reinserted the charging adapter , i kept getting this message .",['POWER_SUPPLY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Connectivity', 'aspect': 'Charging', 'segment': 'no matter how many times i reinserted the charging adapter', 'sentiment': 'negative'}, {'category': 'Connectivity', 'aspect': 'Charging', 'segment': 'i kept getting this message', 'sentiment': 'negative'}]"
"i had no option but to shut down the computer , unplug it , plug it back in , and then reboot .",['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'i had no option but to shut down the computer , unplug it , plug it back in , and then reboot', 'sentiment': 'negative'}]"
it has worked well except for an initial hiccup on turning it on .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'it has worked well', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'initial hiccup on turning it on', 'sentiment': 'negative'}]"
the screen flashes for a second every 30 seconds or so .,['DISPLAY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Display', 'segment': 'the screen flashes for a second every 30 seconds or so', 'sentiment': 'negative'}]"
i noticed the battery went down to 67 % for no reason .,['BATTERY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'the battery went down to 67 % for no reason', 'sentiment': 'negative'}]"
"works good but the fan kicks in pretty often , which is to keep the laptop cool but the sound is annoying .","['FANS&COOLING', 'FANS&COOLING']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Fans&Cooling', 'segment': 'the fan kicks in pretty often', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Fans&Cooling', 'segment': 'the sound is annoying', 'sentiment': 'negative'}]"
nano edge display is nice .,['DISPLAY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'nano edge display is nice', 'sentiment': 'positive'}]"
everything was fine and i went out for an hour .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'everything was fine', 'sentiment': 'positive'}]"
the audio is almost impossible to hear .,['MULTIMEDIA_DEVICES'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Quality', 'aspect': 'Multimedia_Devices', 'segment': 'the audio is almost impossible to hear', 'sentiment': 'negative'}]"
it is slow to do everything .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'it is slow to do everything', 'sentiment': 'negative'}]"
here ' s the kicker : it is doing a terrible job running dragon age .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Games', 'segment': 'it is doing a terrible job running dragon age', 'sentiment': 'negative'}]"
it doesn ' t has backlit keyboard : ( typing in low light is such a pain .,['KEYBOARD'],['DESIGN_FEATURES'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""it doesn ' t has backlit keyboard"", 'sentiment': 'negative'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'typing in low light is such a pain', 'sentiment': 'negative'}]"
very disappointed in how slow it seems .,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'very disappointed in how slow it seems', 'sentiment': 'negative'}]"
"keyboard and mouse pad seem fine , but overall it seems strangely slow .","['KEYBOARD', 'KEYBOARD', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'GENERAL']","['2', '2', '0']","[{'category': 'Operation_Performance', 'aspect': 'Keyboard', 'segment': 'keyboard and mouse pad seem fine', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'overall it seems strangely slow', 'sentiment': 'negative'}]"
i have been using this for just 3 months .,['LAPTOP'],['GENERAL'],['0'],"[{'category': 'Time', 'aspect': 'Laptop', 'segment': 'i have been using this for just 3 months', 'sentiment': 'positive'}]"
crazy keypad : this issue is even worse .,"['KEYBOARD', 'KEYBOARD']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Keyboard', 'segment': 'crazy keypad', 'sentiment': 'negative'}]"
"overall , the laptop has a solid feel to it .",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Construction', 'segment': 'the laptop has a solid feel to it', 'sentiment': 'positive'}]"
"this lead me to believe that although i purchased a “ new ” product , they sent me a refurbished one instead .",['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Quality', 'aspect': 'Product', 'segment': ""i purchased a ' new ' product"", 'sentiment': 'positive'}, {'category': 'Quality', 'aspect': 'Product', 'segment': 'they sent me a refurbished one instead', 'sentiment': 'negative'}]"
"i ' m out from us , i live in colombia , and maybe i can not return these laptop .",['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Shipping', 'segment': ""i ' m out from us , i live in colombia , and maybe i can not return these laptop"", 'sentiment': 'negative'}]"
"i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .","['CPU', 'MEMORY', 'HARDWARE', 'HARDWARE', 'KEYBOARD', 'KEYBOARD', 'KEYBOARD']","['OPERATION_PERFORMANCE', 'GENERAL', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2', '0', '0', '0', '0', '0']","[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'i like the speed , the processor', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Storage', 'segment': 'the hybrid storage units ( 128ssd and 1tera )', 'sentiment': 'positive'}, {'category': 'General', 'aspect': 'Webcam', 'segment': 'the web cam sucks , really poor resolution', 'sentiment': 'negative'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""the keyboard doesn ' t have the numerical part"", 'sentiment': 'negative'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""the caps lock or num lock don ' t have any light or guide to help you"", 'sentiment': 'negative'}]"
lightweight .,['LAPTOP'],['DESIGN_FEATURES'],['2'],"[{'category': 'Portability', 'aspect': 'Laptop', 'segment': 'lightweight', 'sentiment': 'positive'}]"
yesterday the backlight went out .,['KEYBOARD'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the backlight went out', 'sentiment': 'negative'}]"
"it was brand new out of the box , i ' ve never dropped it .",['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Laptop', 'segment': 'it was brand new out of the box', 'sentiment': 'positive'}]"
now i have to deal with warranty stuff and sending it back etc .,['WARRANTY'],['GENERAL'],['1'],"[{'category': 'Quality', 'aspect': 'Warranty', 'segment': 'now i have to deal with warranty stuff and sending it back etc .', 'sentiment': 'negative'}]"
ram upgrade available,['HARDWARE'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Memory', 'segment': 'ram upgrade available for a reasonable price', 'sentiment': 'positive'}]"
hard drive upgrade available,['MEMORY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Design_Features', 'aspect': 'Hard_Disc', 'segment': 'hard drive upgrade available for purchase and installation', 'sentiment': 'positive'}]"
i had issues with the touchpad sticking or not responding to click correctly from the start .,['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Touchpad', 'segment': 'the touchpad sticking or not responding to click correctly', 'sentiment': 'negative'}]"
"it ' s still a mainly functional computer , but using it is just not the greatest .","['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['1', '1']","[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': ""it ' s still a mainly functional computer"", 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'but using it is just not the greatest', 'sentiment': 'negative'}]"
"we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks .","['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['1', '0']","[{'category': 'General', 'aspect': 'Laptop', 'segment': ""we ' ve had the computer for 5 weeks"", 'sentiment': 'negative'}, {'category': 'General', 'aspect': 'Laptop', 'segment': 'used it a total of less than 20 hours', 'sentiment': 'negative'}, {'category': 'General', 'aspect': 'Laptop', 'segment': 'now it will be gone for 3 weeks', 'sentiment': 'negative'}]"
i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found .,['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Warranty', 'segment': 'i send it to asus warranty', 'sentiment': 'positive'}, {'category': 'Quality', 'aspect': 'Warranty', 'segment': ""after a week they ' re sending it back stating the no problem was found"", 'sentiment': 'positive'}]"
display stop working within 2 months .,['DISPLAY'],['GENERAL'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Display', 'segment': 'display stop working within 2 months', 'sentiment': 'negative'}]"
"since it came with no user manual , i had to call asus customer support and got someone who knew all about windows 10 software but nothing about my asus notebook .",['SUPPORT'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Quality', 'aspect': 'Support', 'segment': 'since it came with no user manual , i had to call asus customer support', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Support', 'segment': 'got someone who knew all about windows 10 software but nothing about my asus notebook', 'sentiment': 'negative'}]"
"after reading all the bad reviews , just sent it back for a refund .",['LAPTOP'],['QUALITY'],['0'],"[{'category': 'General', 'aspect': 'Reviews', 'segment': 'after reading all the bad reviews', 'sentiment': 'negative'}]"
all over this asus laptop which has a non - functioning touchpad .,"['LAPTOP', 'HARDWARE']","['GENERAL', 'QUALITY']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Touchpad', 'segment': 'has a non - functioning touchpad', 'sentiment': 'negative'}]"
my screen broke when just putting a textbook on it .,['DISPLAY'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Screen', 'segment': 'my screen broke when just putting a textbook on it', 'sentiment': 'negative'}]"
"don ' t even bother calling customer support , in my experience , they do you no good .",['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Quality', 'aspect': 'Support', 'segment': ""don ' t even bother calling customer support"", 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Support', 'segment': 'in my experience , they do you no good', 'sentiment': 'negative'}]"
keyboard needs to be redesigned entirely .,['KEYBOARD'],['DESIGN_FEATURES'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'keyboard needs to be redesigned entirely', 'sentiment': 'negative'}]"
"6 ` ` screen is big enough to read with ease , yet the item itself is light enough to tote to meetings .","['DISPLAY', 'DISPLAY', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'PORTABILITY']","['2', '2', '2']","[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'screen is big enough to read with ease', 'sentiment': 'positive'}, {'category': 'Portability', 'aspect': 'Laptop', 'segment': 'item itself is light enough to tote to meetings', 'sentiment': 'positive'}]"
"so far , this looks as if it meets my needs as a good ` ` work machine . ` `",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'this looks as if it meets my needs as a good ` ` work machine . ` `', 'sentiment': 'positive'}]"
after exactly one year of useage this computer completely stopped working .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Quality', 'aspect': 'Lifespan', 'segment': 'after exactly one year of useage this computer completely stopped working', 'sentiment': 'negative'}]"
it boots up in 10 seconds and shuts down in 2 to 3 seconds .,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2']","[{'category': 'Operation_Performance', 'aspect': 'Startup', 'segment': 'it boots up in 10 seconds', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Startup', 'segment': 'shuts down in 2 to 3 seconds', 'sentiment': 'positive'}]"
i like the idea that the keyboard lights up and has a ` ` time out ` ` feature to shut off .,['KEYBOARD'],['DESIGN_FEATURES'],['2'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'the keyboard lights up', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'has a ` ` time out ` ` feature to shut off', 'sentiment': 'positive'}]"
it seems put together well .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Quality', 'aspect': 'Construction', 'segment': 'it seems put together well', 'sentiment': 'positive'}]"
"what they lack in size , they make up for in raw speed , durability , and energy efficiency .","['LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'OPERATION_PERFORMANCE']","['0', '2']","[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'what they lack in size , they make up for in raw speed', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'durability', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'energy efficiency', 'sentiment': 'positive'}]"
decent quantity of available ports,"['PORTS', 'PORTS']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Connectivity', 'aspect': 'Ports', 'segment': 'decent quantity of available ports', 'sentiment': 'positive'}]"
it has a dvd drive : o,['OPTICAL_DRIVES'],['GENERAL'],['1'],"[{'category': 'Design_Features', 'aspect': 'Optical_Drives', 'segment': 'it has a dvd drive', 'sentiment': 'positive'}]"
- it runs hot !,['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'it runs hot', 'sentiment': 'negative'}]"
"running grid benchmark , it got to a high 92 / 93 degrees c !",['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Temperature', 'segment': 'running grid benchmark', 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Temperature', 'segment': 'it got to a high 92 / 93 degrees c', 'sentiment': 'negative'}]"
- new i5 mobile processor .,['CPU'],['GENERAL'],['1'],"[{'category': 'Design_Features', 'aspect': 'Processor', 'segment': 'new i5 mobile processor', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Memory', 'segment': '4 gb ram , which is expandable', 'sentiment': 'positive'}, {'category': 'Design_Features', 'aspect': 'Display', 'segment': 'the screen is a good size', 'sentiment': 'positive'}]"
- ddr4 ram that is upgradable .,['MEMORY'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Memory', 'segment': 'ddr4 ram that is upgradable', 'sentiment': 'positive'}]"
- very decent battery life .,['BATTERY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'very decent battery life', 'sentiment': 'positive'}]"
"so far i am pleasantly impressed with this unit , however i have not used it a long time or tested many applications to date .",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': 'i am pleasantly impressed with this unit', 'sentiment': 'positive'}]"
"i can certainly say this is the best laptop i ' ve ever had ( but then again i ' ve only had 3 , and you would expect these things to improve over time , right ) .",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Laptop', 'segment': ""this is the best laptop i ' ve ever had"", 'sentiment': 'positive'}]"
i ' ve been using it for at least 4 hours since last charged in that 23 % used up .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': ""i ' ve been using it for at least 4 hours since last charged in that 23 % used up"", 'sentiment': 'negative'}]"
"- as others have mentioned , the keyboard backlight turns off after just a few seconds of not typing , which can be annoying and there doesn ' t seem to be a way to change this .",['KEYBOARD'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'the keyboard backlight turns off after just a few seconds of not typing', 'sentiment': 'negative'}]"
easily upgradeable ram,['MEMORY'],['USABILITY'],['2'],"[{'category': 'Usability', 'aspect': 'Hardware', 'segment': 'easily upgradeable ram', 'sentiment': 'positive'}, {'category': 'Usability', 'aspect': 'Hardware', 'segment': 'easily upgradeable ssd', 'sentiment': 'positive'}]"
one feature that i love is the ability to disable the touchpad from the keyboard .,"['KEYBOARD', 'KEYBOARD']","['DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2']","[{'category': 'Design_Features', 'aspect': 'Touchpad', 'segment': 'the ability to disable the touchpad from the keyboard', 'sentiment': 'positive'}]"
"it ' s not fancy , but it ' s good value and fast and trouble - free .","['LAPTOP', 'LAPTOP', 'LAPTOP', 'LAPTOP']","['DESIGN_FEATURES', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['1', '2', '2', '2']","[{'category': 'General', 'aspect': 'Laptop', 'segment': ""it ' s not fancy"", 'sentiment': 'neutral'}, {'category': 'General', 'aspect': 'Laptop', 'segment': ""it ' s good value and fast and trouble - free"", 'sentiment': 'positive'}]"
"after spending some time with it , the feature can really be useful .",['KEYBOARD'],['DESIGN_FEATURES'],['2'],"[{'category': 'Usability', 'aspect': 'Out_of_Scope', 'segment': 'after spending some time with it', 'sentiment': 'positive'}, {'category': 'Usability', 'aspect': 'Out_of_Scope', 'segment': 'the feature can really be useful', 'sentiment': 'positive'}]"
easily upgrade to storage and ram .,['MEMORY'],['USABILITY'],['2'],"[{'category': 'Usability', 'aspect': 'Hardware', 'segment': 'easily upgrade to storage and ram', 'sentiment': 'positive'}]"
this does not really matter to me because the mx150 is enough for my needs .,['GRAPHICS'],['DESIGN_FEATURES'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'GPU', 'segment': 'the mx150 is enough for my needs', 'sentiment': 'positive'}]"
"i love the solid state drive , as reviews or ads say you can boot up and get onto internet in 10 to 15 seconds .",['HARD_DISC'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Hard_Disc', 'segment': 'solid state drive', 'sentiment': 'positive'}, {'category': 'Operation_Performance', 'aspect': 'Hard_Disc', 'segment': 'boot up and get onto internet in 10 to 15 seconds', 'sentiment': 'positive'}]"
it ' s not a ` ` gaming ` ` laptop even it can do some more casual gaming .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Gaming', 'segment': ""it ' s not a ` ` gaming ` ` laptop"", 'sentiment': 'negative'}, {'category': 'Operation_Performance', 'aspect': 'Gaming', 'segment': 'it can do some more casual gaming', 'sentiment': 'positive'}]"
