text,term_true,cat_true,pol_true,analysis,term,cat,pol,seg
"it is glitchy , and barely usable .","['HARDWARE', 'HARDWARE']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'General', 'segment': 'it is glitchy', 'sentiment': 'negative', 'review_id': 10}, {'category': 'Operation_Performance', 'aspect': 'General', 'segment': 'and barely usable', 'sentiment': 'negative', 'review_id': 10}]","['General', 'General']","['Operation_Performance', 'Operation_Performance']","[0, 0]","['it is glitchy', 'and barely usable']"
"i ordered one , the touch pad failed to work consistently .",['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Touch Pad', 'segment': 'the touch pad failed to work consistently', 'sentiment': 'negative', 'review_id': 11}]",['Touch Pad'],['Design_Features'],[0],['the touch pad failed to work consistently']
"i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !",['KEYBOARD'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !"", 'sentiment': 'negative', 'review_id': 12}]",['Keyboard'],['Design_Features'],[0],"[""i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !""]"
"i know it only takes a few seconds , but a new device should not be doing this and makes me question if it ' ll get worse in the future .",['LAPTOP'],['GENERAL'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Device', 'segment': 'i know it only takes a few seconds, but a new device should not be doing this', 'sentiment': 'negative', 'review_id': 13}, {'category': 'Operation_Performance', 'aspect': 'Device', 'segment': ""and makes me question if it'll get worse in the future"", 'sentiment': 'negative', 'review_id': 13}]","['Device', 'Device']","['Operation_Performance', 'Operation_Performance']","[0, 0]","['i know it only takes a few seconds, but a new device should not be doing this', ""and makes me question if it'll get worse in the future""]"
"i also have to press the trackpad very hard for left click ( not as badly as the first unit , though ) , and i lost right click functionality on the track pad 2 days into my voyage with this thing .",['KEYBOARD'],['USABILITY'],['0'],"[{'category': 'Design_Features', 'aspect': 'Trackpad', 'segment': 'I also have to press the trackpad very hard for left click', 'sentiment': 'negative', 'review_id': 14}, {'category': 'Design_Features', 'aspect': 'Trackpad', 'segment': 'I lost right click functionality on the track pad 2 days into my voyage with this thing', 'sentiment': 'negative', 'review_id': 14}]","['Trackpad', 'Trackpad']","['Design_Features', 'Design_Features']","[0, 0]","['I also have to press the trackpad very hard for left click', 'I lost right click functionality on the track pad 2 days into my voyage with this thing']"
"i tried factory resetting after i updated the os , and it still drained 9 % over 8 hours .",['OS'],['GENERAL'],['1'],"[{'category': 'Operation_Performance', 'aspect': 'OS', 'segment': 'i updated the os', 'sentiment': 'positive', 'review_id': 15}, {'category': 'Operation_Performance', 'aspect': 'Factory Reset', 'segment': 'i tried factory resetting', 'sentiment': 'neutral', 'review_id': 15}, {'category': 'Battery', 'aspect': 'Battery', 'segment': 'it still drained 9 % over 8 hours', 'sentiment': 'negative', 'review_id': 15}]","['OS', 'Factory Reset', 'Battery']","['Operation_Performance', 'Operation_Performance', 'Battery']","[2, 1, 0]","['i updated the os', 'i tried factory resetting', 'it still drained 9 % over 8 hours']"
hdmi out doesn ' t work right .,['PORTS'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'HDMI', 'segment': ""hdmi out doesn ' t work right"", 'sentiment': 'negative', 'review_id': 16}]",['HDMI'],['Operation_Performance'],[0],"[""hdmi out doesn ' t work right""]"
they had it over a week and then shipped back .,['SUPPORT'],['GENERAL'],['1'],"[{'category': 'Customer_Service', 'aspect': 'Shipping', 'segment': 'they had it over a week and then shipped back', 'sentiment': 'negative', 'review_id': 17}]",['Shipping'],['Customer_Service'],[0],['they had it over a week and then shipped back']
"i was excited to receive this chromebook , only to watch that excitement dissipate within mere hours as i noticed the touchscreen did n ' t work at all on tablet mode .",['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Chromebook', 'segment': 'i was excited to receive this chromebook', 'sentiment': 'positive', 'review_id': 18}, {'category': 'Design_Features', 'aspect': 'Touchscreen', 'segment': ""touchscreen did n ' t work at all on tablet mode"", 'sentiment': 'negative', 'review_id': 18}]","['Chromebook', 'Touchscreen']","['Design_Features', 'Design_Features']","[2, 0]","['i was excited to receive this chromebook', ""touchscreen did n ' t work at all on tablet mode""]"
clearly there is some kind of major defect here that acer has n ' t resolved .,['COMPANY'],['GENERAL'],['0'],[],[],[],[],[]
i bought this for my daughter to use to take online classes while she ' s overseas in europe for a year .,['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Use', 'aspect': 'Online Classes', 'segment': 'to take online classes', 'sentiment': 'positive', 'review_id': 20}, {'category': 'Location', 'aspect': 'Europe', 'segment': ""while she ' s overseas in Europe"", 'sentiment': 'positive', 'review_id': 20}, {'category': 'Duration', 'aspect': 'One Year', 'segment': 'for a year', 'sentiment': 'positive', 'review_id': 20}]","['Online Classes', 'Europe', 'One Year']","['Use', 'Location', 'Duration']","[2, 2, 2]","['to take online classes', ""while she ' s overseas in Europe"", 'for a year']"
decent sound quality .,['MULTIMEDIA_DEVICES'],['QUALITY'],['2'],"[{'category': 'Sound', 'aspect': 'Sound Quality', 'segment': 'decent sound quality', 'sentiment': 'positive', 'review_id': 21}]",['Sound Quality'],['Sound'],[2],['decent sound quality']
flimsy power adapter .,['POWER_SUPPLY'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Power Adapter', 'segment': 'flimsy power adapter', 'sentiment': 'negative', 'review_id': 22}]",['Power Adapter'],['Design_Features'],[0],['flimsy power adapter']
wi - fi slows down to crowl and speeds back up intermittently .,['PORTS'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Wi-Fi', 'segment': 'wi - fi slows down to crowl', 'sentiment': 'negative', 'review_id': 23}, {'category': 'Operation_Performance', 'aspect': 'Wi-Fi', 'segment': 'and speeds back up intermittently', 'sentiment': 'positive', 'review_id': 23}]","['Wi-Fi', 'Wi-Fi']","['Operation_Performance', 'Operation_Performance']","[0, 2]","['wi - fi slows down to crowl', 'and speeds back up intermittently']"
regret buying it at times .,['LAPTOP'],['GENERAL'],['0'],[],[],[],[],[]
it just turned off and will not turn back on .,['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Laptop', 'segment': 'it just turned off and will not turn back on', 'sentiment': 'negative', 'review_id': 25}]",['Laptop'],['Operation_Performance'],[0],['it just turned off and will not turn back on']
"the product is great , but the customer support is horrible .","['LAPTOP', 'SUPPORT']","['GENERAL', 'GENERAL']","['2', '0']","[{'category': 'Product', 'aspect': 'Product', 'segment': 'the product is great', 'sentiment': 'positive', 'review_id': 26}, {'category': 'Customer_Support', 'aspect': 'Customer Support', 'segment': 'but the customer support is horrible', 'sentiment': 'negative', 'review_id': 26}]","['Product', 'Customer Support']","['Product', 'Customer_Support']","[2, 0]","['the product is great', 'but the customer support is horrible']"
called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help .,['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Customer_Service', 'aspect': 'Support', 'segment': 'called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help', 'sentiment': 'negative', 'review_id': 27}]",['Support'],['Customer_Service'],[0],['called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help']
"but i ' m getting into photography now , and it ' s terrible for loading , storing , and editing pictures .",['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Laptop', 'segment': ""but it's terrible for loading, storing, and editing pictures."", 'sentiment': 'negative', 'review_id': 28}]",['Laptop'],['Design_Features'],[0],"[""but it's terrible for loading, storing, and editing pictures.""]"
i have sent it in twice already and waiting for it to come back .,['LAPTOP'],['GENERAL'],['1'],[],[],[],[],[]
the screen looked great .,['DISPLAY'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Screen', 'segment': 'the screen looked great', 'sentiment': 'positive', 'review_id': 30}]",['Screen'],['Design_Features'],[2],['the screen looked great']
"no matter how many times i reinserted the charging adapter , i kept getting this message .",['POWER_SUPPLY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Charging', 'segment': 'no matter how many times i reinserted the charging adapter', 'sentiment': 'negative', 'review_id': 31}, {'category': 'Operation_Performance', 'aspect': 'Charging', 'segment': 'i kept getting this message', 'sentiment': 'negative', 'review_id': 31}]","['Charging', 'Charging']","['Operation_Performance', 'Operation_Performance']","[0, 0]","['no matter how many times i reinserted the charging adapter', 'i kept getting this message']"
"i had no option but to shut down the computer , unplug it , plug it back in , and then reboot .",['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Computer', 'segment': 'i had no option but to shut down the computer, unplug it, plug it back in, and then reboot', 'sentiment': 'negative', 'review_id': 32}]",['Computer'],['Operation_Performance'],[0],"['i had no option but to shut down the computer, unplug it, plug it back in, and then reboot']"
it has worked well except for an initial hiccup on turning it on .,['LAPTOP'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'Initial Setup', 'segment': 'an initial hiccup on turning it on', 'sentiment': 'negative', 'review_id': 33}, {'category': 'Operation_Performance', 'aspect': 'General Use', 'segment': 'it has worked well', 'sentiment': 'positive', 'review_id': 33}]","['Initial Setup', 'General Use']","['Operation_Performance', 'Operation_Performance']","[0, 2]","['an initial hiccup on turning it on', 'it has worked well']"
the screen flashes for a second every 30 seconds or so .,['DISPLAY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Screen', 'segment': 'the screen flashes for a second every 30 seconds or so', 'sentiment': 'negative', 'review_id': 34}]",['Screen'],['Design_Features'],[0],['the screen flashes for a second every 30 seconds or so']
i noticed the battery went down to 67 % for no reason .,['BATTERY'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Battery', 'segment': 'i noticed the battery went down to 67 % for no reason', 'sentiment': 'negative', 'review_id': 35}]",['Battery'],['Operation_Performance'],[0],['i noticed the battery went down to 67 % for no reason']
"works good but the fan kicks in pretty often , which is to keep the laptop cool but the sound is annoying .","['FANS&COOLING', 'FANS&COOLING']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Fan', 'segment': 'works good but the fan kicks in pretty often', 'sentiment': 'negative', 'review_id': 36}, {'category': 'Design_Features', 'aspect': 'Laptop', 'segment': 'which is to keep the laptop cool', 'sentiment': 'positive', 'review_id': 36}, {'category': 'Sound', 'aspect': 'Sound', 'segment': 'but the sound is annoying', 'sentiment': 'negative', 'review_id': 36}]","['Fan', 'Laptop', 'Sound']","['Operation_Performance', 'Design_Features', 'Sound']","[0, 2, 0]","['works good but the fan kicks in pretty often', 'which is to keep the laptop cool', 'but the sound is annoying']"
nano edge display is nice .,['DISPLAY'],['OPERATION_PERFORMANCE'],['2'],"[{'category': 'Design_Features', 'aspect': 'Display', 'segment': 'nano edge display is nice', 'sentiment': 'positive', 'review_id': 37}]",['Display'],['Design_Features'],[2],['nano edge display is nice']
everything was fine and i went out for an hour .,['LAPTOP'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'everything', 'segment': 'everything was fine', 'sentiment': 'positive', 'review_id': 38}, {'category': 'General', 'aspect': 'i', 'segment': 'i went out for an hour', 'sentiment': 'positive', 'review_id': 38}]","['everything', 'i']","['General', 'General']","[2, 2]","['everything was fine', 'i went out for an hour']"
the audio is almost impossible to hear .,['MULTIMEDIA_DEVICES'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Sound', 'aspect': 'audio', 'segment': 'the audio', 'sentiment': 'negative', 'review_id': 39}]",['audio'],['Sound'],[0],['the audio']
it is slow to do everything .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'it is slow to do everything', 'sentiment': 'negative', 'review_id': 40}]",['CPU'],['Operation_Performance'],[0],['it is slow to do everything']
here ' s the kicker : it is doing a terrible job running dragon age .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Game', 'segment': 'it is doing a terrible job running dragon age', 'sentiment': 'negative', 'review_id': 41}]",['Game'],['Operation_Performance'],[0],['it is doing a terrible job running dragon age']
it doesn ' t has backlit keyboard : ( typing in low light is such a pain .,['KEYBOARD'],['DESIGN_FEATURES'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""it doesn't has backlit keyboard"", 'sentiment': 'negative', 'review_id': 42}]",['Keyboard'],['Design_Features'],[0],"[""it doesn't has backlit keyboard""]"
very disappointed in how slow it seems .,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Overall speed', 'segment': 'very disappointed in how slow it seems', 'sentiment': 'negative', 'review_id': 43}]",['Overall speed'],['Operation_Performance'],[0],['very disappointed in how slow it seems']
"keyboard and mouse pad seem fine , but overall it seems strangely slow .","['KEYBOARD', 'KEYBOARD', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'GENERAL']","['2', '2', '0']",[],[],[],[],[]
i have been using this for just 3 months .,['LAPTOP'],['GENERAL'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Time', 'segment': 'i have been using this for just 3 months', 'sentiment': 'positive', 'review_id': 45}]",['Time'],['Operation_Performance'],[2],['i have been using this for just 3 months']
crazy keypad : this issue is even worse .,"['KEYBOARD', 'KEYBOARD']","['GENERAL', 'GENERAL']","['0', '0']",[],[],[],[],[]
"overall , the laptop has a solid feel to it .",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Laptop', 'segment': 'overall, the laptop has a solid feel to it', 'sentiment': 'positive', 'review_id': 47}]",['Laptop'],['Design_Features'],[2],"['overall, the laptop has a solid feel to it']"
"this lead me to believe that although i purchased a “ new ” product , they sent me a refurbished one instead .",['LAPTOP'],['QUALITY'],['0'],[],[],[],[],[]
"i ' m out from us , i live in colombia , and maybe i can not return these laptop .",['LAPTOP'],['GENERAL'],['1'],"[{'category': 'Location', 'aspect': 'Colombia', 'segment': 'i live in colombia', 'sentiment': 'positive', 'review_id': 49}, {'category': 'Return Policy', 'aspect': 'Return Policy', 'segment': 'and maybe i can not return these laptop', 'sentiment': 'negative', 'review_id': 49}]","['Colombia', 'Return Policy']","['Location', 'Return Policy']","[2, 0]","['i live in colombia', 'and maybe i can not return these laptop']"
"i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .","['CPU', 'MEMORY', 'HARDWARE', 'HARDWARE', 'KEYBOARD', 'KEYBOARD', 'KEYBOARD']","['OPERATION_PERFORMANCE', 'GENERAL', 'OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE', 'DESIGN_FEATURES', 'DESIGN_FEATURES', 'DESIGN_FEATURES']","['2', '2', '0', '0', '0', '0', '0']","[{'category': 'Operation_Performance', 'aspect': 'Speed', 'segment': 'i like the speed', 'sentiment': 'positive', 'review_id': 50}, {'category': 'Operation_Performance', 'aspect': 'CPU', 'segment': 'the processor', 'sentiment': 'positive', 'review_id': 50}, {'category': 'Operation_Performance', 'aspect': 'Storage', 'segment': 'the hybrid storage units ( 128ssd and 1tera )', 'sentiment': 'positive', 'review_id': 50}, {'category': 'Design_Features', 'aspect': 'Webcam', 'segment': 'but the web cam sucks , really poor resolution', 'sentiment': 'negative', 'review_id': 50}, {'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': ""and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you"", 'sentiment': 'negative', 'review_id': 50}]","['Speed', 'CPU', 'Storage', 'Webcam', 'Keyboard']","['Operation_Performance', 'Operation_Performance', 'Operation_Performance', 'Design_Features', 'Design_Features']","[2, 2, 2, 0, 0]","['i like the speed', 'the processor', 'the hybrid storage units ( 128ssd and 1tera )', 'but the web cam sucks , really poor resolution', ""and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you""]"
lightweight .,['LAPTOP'],['DESIGN_FEATURES'],['2'],[],[],[],[],[]
yesterday the backlight went out .,['KEYBOARD'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Backlight', 'segment': 'yesterday the backlight went out', 'sentiment': 'negative', 'review_id': 52}]",['Backlight'],['Design_Features'],[0],['yesterday the backlight went out']
"it was brand new out of the box , i ' ve never dropped it .",['LAPTOP'],['GENERAL'],['1'],[],[],[],[],[]
now i have to deal with warranty stuff and sending it back etc .,['WARRANTY'],['GENERAL'],['1'],"[{'category': 'Warranty', 'aspect': 'Warranty', 'segment': 'now i have to deal with warranty stuff and sending it back etc', 'sentiment': 'negative', 'review_id': 54}]",['Warranty'],['Warranty'],[0],['now i have to deal with warranty stuff and sending it back etc']
ram upgrade available,['HARDWARE'],['GENERAL'],['2'],[],[],[],[],[]
hard drive upgrade available,['MEMORY'],['OPERATION_PERFORMANCE'],['2'],[],[],[],[],[]
i had issues with the touchpad sticking or not responding to click correctly from the start .,['HARDWARE'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'Touchpad', 'segment': 'i had issues with the touchpad sticking or not responding to click correctly from the start', 'sentiment': 'negative', 'review_id': 57}]",['Touchpad'],['Design_Features'],[0],['i had issues with the touchpad sticking or not responding to click correctly from the start']
"it ' s still a mainly functional computer , but using it is just not the greatest .","['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['1', '1']","[{'category': 'Operation_Performance', 'aspect': 'Computer', 'segment': ""it ' s still a mainly functional computer"", 'sentiment': 'positive', 'review_id': 58}, {'category': 'Operation_Performance', 'aspect': 'Computer', 'segment': 'but using it is just not the greatest', 'sentiment': 'negative', 'review_id': 58}]","['Computer', 'Computer']","['Operation_Performance', 'Operation_Performance']","[2, 0]","[""it ' s still a mainly functional computer"", 'but using it is just not the greatest']"
"we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks .","['LAPTOP', 'LAPTOP']","['GENERAL', 'GENERAL']","['1', '0']","[{'category': 'Operation_Performance', 'aspect': 'Computer', 'segment': ""we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks ."", 'sentiment': 'negative', 'review_id': 59}]",['Computer'],['Operation_Performance'],[0],"[""we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks .""]"
i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found .,['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Customer_Service', 'aspect': 'Warranty', 'segment': ""i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found"", 'sentiment': 'negative', 'review_id': 60}]",['Warranty'],['Customer_Service'],[0],"[""i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found""]"
display stop working within 2 months .,['DISPLAY'],['GENERAL'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Display', 'segment': 'display stop working within 2 months', 'sentiment': 'negative', 'review_id': 61}]",['Display'],['Operation_Performance'],[0],['display stop working within 2 months']
"since it came with no user manual , i had to call asus customer support and got someone who knew all about windows 10 software but nothing about my asus notebook .",['SUPPORT'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Design_Features', 'aspect': 'User Manual', 'segment': 'since it came with no user manual', 'sentiment': 'negative', 'review_id': 62}, {'category': 'Customer Service', 'aspect': 'Asus Customer Support', 'segment': 'i had to call asus customer support', 'sentiment': 'neutral', 'review_id': 62}, {'category': 'Operation_Performance', 'aspect': 'Windows 10', 'segment': 'and got someone who knew all about windows 10 software', 'sentiment': 'positive', 'review_id': 62}, {'category': 'Design_Features', 'aspect': 'Asus Notebook', 'segment': 'but nothing about my asus notebook', 'sentiment': 'negative', 'review_id': 62}]","['User Manual', 'Asus Customer Support', 'Windows 10', 'Asus Notebook']","['Design_Features', 'Customer Service', 'Operation_Performance', 'Design_Features']","[0, 1, 2, 0]","['since it came with no user manual', 'i had to call asus customer support', 'and got someone who knew all about windows 10 software', 'but nothing about my asus notebook']"
"after reading all the bad reviews , just sent it back for a refund .",['LAPTOP'],['QUALITY'],['0'],"[{'category': 'Reviews', 'aspect': 'Reviews', 'segment': 'after reading all the bad reviews', 'sentiment': 'negative', 'review_id': 63}, {'category': 'Action', 'aspect': 'Refund', 'segment': 'just sent it back for a refund', 'sentiment': 'positive', 'review_id': 63}]","['Reviews', 'Refund']","['Reviews', 'Action']","[0, 2]","['after reading all the bad reviews', 'just sent it back for a refund']"
all over this asus laptop which has a non - functioning touchpad .,"['LAPTOP', 'HARDWARE']","['GENERAL', 'QUALITY']","['0', '0']","[{'category': 'Design_Features', 'aspect': 'Touchpad', 'segment': 'has a non-functioning touchpad', 'sentiment': 'negative', 'review_id': 64}]",['Touchpad'],['Design_Features'],[0],['has a non-functioning touchpad']
my screen broke when just putting a textbook on it .,['DISPLAY'],['GENERAL'],['0'],"[{'category': 'Design_Features', 'aspect': 'Screen', 'segment': 'my screen broke when just putting a textbook on it', 'sentiment': 'negative', 'review_id': 65}]",['Screen'],['Design_Features'],[0],['my screen broke when just putting a textbook on it']
"don ' t even bother calling customer support , in my experience , they do you no good .",['SUPPORT'],['GENERAL'],['0'],"[{'category': 'Customer_Service', 'aspect': 'Customer Support', 'segment': ""don ' t even bother calling customer support"", 'sentiment': 'negative', 'review_id': 66}, {'category': 'Customer_Service', 'aspect': 'Customer Support', 'segment': 'in my experience , they do you no good', 'sentiment': 'negative', 'review_id': 66}]","['Customer Support', 'Customer Support']","['Customer_Service', 'Customer_Service']","[0, 0]","[""don ' t even bother calling customer support"", 'in my experience , they do you no good']"
keyboard needs to be redesigned entirely .,['KEYBOARD'],['DESIGN_FEATURES'],['0'],"[{'category': 'Design_Features', 'aspect': 'Keyboard', 'segment': 'keyboard needs to be redesigned entirely', 'sentiment': 'negative', 'review_id': 67}]",['Keyboard'],['Design_Features'],[0],['keyboard needs to be redesigned entirely']
"6 ` ` screen is big enough to read with ease , yet the item itself is light enough to tote to meetings .","['DISPLAY', 'DISPLAY', 'LAPTOP']","['DESIGN_FEATURES', 'DESIGN_FEATURES', 'PORTABILITY']","['2', '2', '2']",[],[],[],[],[]
"so far , this looks as if it meets my needs as a good ` ` work machine . ` `",['LAPTOP'],['GENERAL'],['2'],"[{'category': 'Operation_Performance', 'aspect': 'work machine', 'segment': 'so far, this looks as if it meets my needs as a good ` ` work machine. ` `', 'sentiment': 'positive', 'review_id': 69}]",['work machine'],['Operation_Performance'],[2],"['so far, this looks as if it meets my needs as a good ` ` work machine. ` `']"
after exactly one year of useage this computer completely stopped working .,['LAPTOP'],['OPERATION_PERFORMANCE'],['0'],"[{'category': 'Operation_Performance', 'aspect': 'Computer', 'segment': 'after exactly one year of useage this computer completely stopped working', 'sentiment': 'negative', 'review_id': 70}]",['Computer'],['Operation_Performance'],[0],['after exactly one year of useage this computer completely stopped working']
it boots up in 10 seconds and shuts down in 2 to 3 seconds .,"['LAPTOP', 'LAPTOP']","['OPERATION_PERFORMANCE', 'OPERATION_PERFORMANCE']","['2', '2']","[{'category': 'Operation_Performance', 'aspect': 'Boot_up', 'segment': 'it boots up in 10 seconds', 'sentiment': 'positive', 'review_id': 71}, {'category': 'Operation_Performance', 'aspect': 'Shut_down', 'segment': 'shuts down in 2 to 3 seconds', 'sentiment': 'positive', 'review_id': 71}]","['Boot_up', 'Shut_down']","['Operation_Performance', 'Operation_Performance']","[2, 2]","['it boots up in 10 seconds', 'shuts down in 2 to 3 seconds']"
