category,aspect,segment,sentiment,review_id
Food_and_Drink,Bottles,and bottle selection,positive,61
Food_and_Drink,Pizza,and the pizza rocks,positive,61
Design_Features,Jukebox,definitely has one of the best jukebox ' s i ' ve seen in a long long time,positive,62
Food_Quality,Food,the food is great,positive,63
Service,Bartenders,the bartenders go that extra mile,positive,63
Atmosphere,Owners,the owners are great fun,positive,64
Atmosphere,Beer Selection,the beer selection is worth staying for,positive,64
Location,upstairs,upstairs,positive,65
Smoking,Smoking places,not alot of smoking places left in new york,negative,66
Smoking,Smoking places,but i have found my favorite smoking balcony in the city,positive,66
Food,Sushi,the sushi here is delicious,positive,67
Food_Selection,Fish,they have a wide variety of fish,positive,68
Food_Origin,Fish,and they even list which oceans they come from ; atlantic or pacific,positive,68
Food,Jellyfish,the jellyfish,positive,69
Food,Horse Mackerel,horse mackerel,positive,69
Food,Blue Fin Tuna,blue fin tuna,positive,69
Food,Sake Ikura Roll,sake ikura roll,positive,69
Design_Features,Size,i wish the pieces were a little bigger,negative,70
Design_Features,Decor,"the decor is rustic, traditional japanese",positive,71
General,Crowd,"the crowd is mixed yuppies, young and old",neutral,72
Service,Service,the service was courteous and attentive,positive,73
Food,Food,mediocre food,negative,74
Food_Menu,Patio,the outside patio area has an abbreviated menu,negative,75
Food,Quality,food was very mediocre,negative,76
Food,Price,especially considering the price,negative,76
Food,Food,average food,negative,77
Customers,Customers,most customers are probably one-time customer tourists,negative,77
Service,Service,service was decent,positive,78
Food_and_Drinks,Drinks,drinks were good,positive,79
Food,Food,excellent food,positive,80
Ambience,Ambience,nice ambience,positive,80
Price,Price,fairly expensive,negative,80
Food,Pumpkin Ravioli,loved the pumpkin ravioli,positive,81
Food,Goat Cheese Gnocchi,loved the goat cheese gnocchi,positive,81
Food,Filet Mignon,loved her filet mignon,positive,81
Atmosphere,Ambiance,the ambiance was a peaceful and relaxing break,positive,82
Atmosphere,Crowd,amongst all the kids running around,negative,82
Location,Disney,in downtown disney,positive,82
Food,Indian,best indian food in l . a .,positive,83
Food,Chicken Curry,chicken curry,positive,84
Food,Chicken Tikka Masala,chicken tikka masala,positive,84
Food,Chana Masala,the chana masala ( garbanzo beans ) are also excellent,positive,85
Location,Strip Mall,it ' s located in a strip mall,negative,86
Food,Food,the food keeps me coming back for more,positive,86
Atmosphere,Crowdedness,never too crowded,positive,87
Service,Service,always great service,positive,87
Food,Menu,i think i have probably tried each item on their menu at least once,positive,88
Food,Menu,it is all excellent,positive,88
Food,Saag,saag,positive,89
Food,Paneer,paneer,positive,89
Food,Korma,korma,positive,89
Service,Delivery,i appreciate their delivery too,positive,90
Food,Food,nice food,positive,91
Food,Spice,but no spice,negative,91
Food_Quality,Meal,i really enjoyed my meal here,positive,92
Food,Lamb Korma,i had yummy lamb korma,positive,93
Food,Saag Paneer,saag paneer,positive,93
Food,Samosas,samosas,positive,93
Food,Naan,naan,positive,93
Food,Food,the food was all good,positive,94
Food,Spiciness,but it was way too mild,negative,94
Food,Naan,the naan was some of the best i ' ve had,positive,95
Food,Bhartha,i really enjoyed the bhartha,positive,95
Food,Bhartha,not too tomatoey,positive,95
Food,Chickpeas,even the chickpeas,positive,96
Food,Chickpeas,which i normally find too dry,negative,96
Food,Chickpeas,were good,positive,96
Food,Fajita Salad,the fajita salad,positive,97
Food,Colorado,the colorado,positive,97
Food,Fajitas,the fajitas,positive,97
Atmosphere,Environment,warm & cosy environment,positive,98
Atmosphere,Privacy,you can have the place to yourself on nights and weekends for a private party,positive,99
Atmosphere,Excitement,ca n ' t wait to celebrate my next birthday there,positive,99
Food_Quality,Restaurant,best restaurant in the world,positive,100
General,Decor,great decor,positive,100
Customer_Service,Customer Service,great customer service,positive,100
Customer_Service,Manager,friendly manager,positive,100
Food,Food,i am never disappointed with there food,positive,101
Atmosphere,atmosphere,the atmosphere is great,positive,102
Food_Quality,Lunch,great lunch spot,positive,103
Food_Quality,Mexican Spot,great financial district mexican spot,positive,104
Service,seating,they are good at seating you promptly,positive,105
Service,speed,have quick service,positive,105
Food,Taco salads,taco salads,positive,106
Food,Burritos,burritos,positive,106
Food,Enchiladas,enchiladas,positive,106
Atmosphere,Place,i love this place,positive,106
Food_and_Drink,Margaritas,also have great margaritas,positive,107
Food,Food,the food is simply unforgettable,positive,108
Food_Quality,Presentation,the presentation of the food was an added bonus,positive,109
Food_Quality,Quality,it looked just as great as it tasted,positive,109
Food,chicken shawarma,my best friend had the chicken shawarma,positive,110
Staff,Friendly,the staff are friendly,positive,111
Decor,Ethnic,the decor was ethic,positive,111
Decor,Colorful,and colorful,positive,111
Food,Quality,the quality is inconsistent during lunch,negative,114
Food,Taste,the food is here is incredible,positive,114
Food_Quality,Dinners,"dinners have always been excellent, ",positive,115
Food_Quality,Food Quality,in terms of food quality.,positive,115
Food,Open Sesame Combo Plate,The open sesame combo plate is a bargain,positive,116
Food,Open Sesame Combo Plate,for the heap of food given,positive,116
Food,Potatoes,the side of potatoes is to die for,positive,117
Food,Labne,as is the labne ( yogurt dip ),positive,117
Food_Quality,Hummus,serve the best hummus in America,positive,118
Food_Preparation,Hummus,with a drizzle of fragrant olive oil,positive,118
Service,Service,the slow service,negative,119
Ambience,Seating,the crowded seating,negative,119
Food,Food,this place is a gem,positive,120
Food,Food,and i won't stop going back,positive,120
Food_and_Drink,Beer,great beer selection,positive,121
Food_Quality,restaurant,it was absolutely horrible,negative,122
Food_and_Drink,Beer,for a warm beer,negative,123
Food_and_Drink,Meal,and mediocre meal,negative,123
Entertainment,band,the band was very good,positive,124
Service,service,and the service was attentive,positive,124
Food,Small Plates,we ordered a selection of the small plates,positive,125
Food,Shoe String Onions,and the shoe string onions,positive,125
Food,Goat Cheese Pizza,goat cheese pizza,positive,125
Food,Grilled Asparagus,grilled asparagus,positive,125
Food,Fried Brie with Fruit,fried brie with fruit,positive,125
Wine,Wine,seattle ' s best winelist,positive,126
Food_and_Drink,Wine,has the city's best & most diverse wine list,positive,127
Service,Sommelier,"the sommelier is fantastic, down-to-earth, & extremely knowlegable.",positive,128
Experience,Wine,i would go back for the wine experience alone,positive,129
Dive,Dive,"perhaps now , scooner or later falls into the ` ` dive ' ' category . ",negative,131
Atmosphere,Place,a place that was once the place to meet and eat for bfast or lunch,negative,132
Atmosphere,Place,now be the place that is a big ` ` dont bother . ' ',negative,132
Food,Food,the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up,negative,133
Service,Service,and the service is the worst i have experienced anywhere ( including mainland europe ),negative,133
Service,attitude,the worst service / attitude,negative,134
General,establishment,comes from the owners of this establishment,neutral,134
Food_Quality,Establishment,"this establishment really made a marked decline after ( and this is recurring story ) the airing of food televisions ` ` diners , drive - ins , and dives ' ' hosted by guy fieri , in which schooner or later was subject of . ",negative,135
Food_and_Drink,Pizza,the best pizza,positive,136
Food_and_Drink,Coffee,coffee,positive,136
Food_Menu,Pizza,mioposto has a very creative & delicious pizza menu,positive,137
Quality,Coffee,the coffee is very good,positive,138
General,Coffee,too,positive,138
Atmosphere,Ambience,great open and friendly ambience,positive,139
Atmosphere,Place,this place is charming and relaxing,positive,140
Service,Servers,the servers behind the counter are always friendly and helpful,positive,141
Food_and_Drink,Food,it ' s a great place to enjoy food,positive,142
General,Friends,and meet friends,positive,142
Food,Food,great food,positive,143
Location,Location,spectacular location,positive,143
Service,Service,friendly service,positive,143
Food,Food,enjoyed the food,positive,144
Service,Service,and service,positive,144
Food,Food,food was good,positive,145
Food,Price,and cheap,positive,145
Food,Kafta,i had the kafta plate,positive,146
Atmosphere,Atmosphere,atmosphere was nice,positive,147
Service,Service,service was kind of slow,negative,148
Service,Waitress,our waitress took forever to give us our check,negative,148
Recommendation,Place,still i would recommend this place,positive,149
Food,Food,great food,positive,151
Atmosphere,Atmosphere,with an awesome atmosphere,positive,151
Food,Eggs,eggs,positive,152
Food,Pancakes,pancakes,positive,152
Food,Potatoes,potatoes,positive,152
Food,Fruit,fresh fruit,positive,152
Food,Yogurt,yogurt,positive,152
Food_and_Drink,Breakfast,the best place for a leisure sunday breakfast,positive,153
Location,Farmer's Market,then take a stroll through the nearby farmer's market,positive,153
Food_Quality,Fish,the fish on the omikase platter was absolutely decadent,positive,154
Food_Quality,Fish,there was none of the stringiness that sometimes accompanies fair sushi,positive,154
Food_Quality,Fish,this fish was perfect,positive,154
Food,Rice,i am allergic to rice,negative,155
Service,Waitstaff,the waitstaff was unbelievably accomodating,positive,155
Service,Waiter,the waiter suggested a perfect sake,positive,156
Food,Sushi,unbeatable sushi,positive,157
Food,Nigiri,melt in your mouth nigiri,positive,158
Food,Sashimi,and sashimi,positive,158
Food,Rolls,and very tasty rolls too,positive,158
Food,Oyster Roll,be sure to try the oyster roll,positive,159
Food,Sushi,"hmmmm, delicious, amazing, fantastic, suculent, perfect, nah, all of the above.",positive,160
Food_Quality,Restaurant,i ca n ' t say enough good things about this restaurant,positive,161
General,Restaurant,and i ca n ' t wait for my next several visits,positive,161
Food,Chuwam mushi,the best chuwam mushi,positive,162
Food,Sushi,good sushi,positive,163
Price,Price,high price,negative,163
Food,Sushi,one of the best sushi place in town,positive,164
Food,House Special Roll,the house special roll is really good,positive,165
Food,Brunch,brunch at murphy's is to die for,positive,166
Food,Egg White Omelet,my specialty...egg white omelet,positive,166
Food,Preparation,the food is always freshly prepared,positive,166
Atmosphere,Romantic,it ' s the perfect spot for a romantic date for 2,positive,167
Atmosphere,Secret,or a secret rendezvous,positive,167
Food_Dining,Desserts,save room for scrumptious desserts,positive,168
Food_and_Drink,Wine,the restaurant offers an extensive wine list,positive,169
General,Atmosphere,and an ambiance you won't forget,positive,169
Food,Mexican,best mexican place for lunch,positive,170
Location,Financial District,in the financial district,neutral,170
Food,Enchiladas,love the enchiladas,positive,171
Food,Soup,chicken soup,positive,171
Service,Specials,check out their specials,neutral,171
Staff,Cooks,the cooks have been at the restaurant for years,positive,172
Cuisine,Family Recipes,cook family recipes,positive,172
Service,Efficiency,the service is so efficient you can be in and out of there quickly,positive,173
Service,Availability,can get busy on fridays for a table,negative,173
Food,Sushi,the sushi was excellent,positive,174
Service,Wait Staff,the wait staff was quick,positive,174
Atmosphere,Atmosphere,the atmosphere was just okay,negative,175
Atmosphere,Space,space was limited,negative,176
Food,Food,but the food made up for it,positive,176
Customer Service,Employees,we stood there for 10 minutes while employees walked back and forth ignoring us,negative,177
Service,Staff,my wife stood face to face in front of one of the staff,neutral,178
Service,Table,` ` are you waiting for a table ? ' ',neutral,178
Food,Caesar Salad,the caesar salad i ordered,negative,179
Food,Caesar Salad,had so much lemon,negative,179
Food,Caesar Salad,i could n't eat it,negative,179
Food,Food,great food,positive,180
Drinks,Margaritas,better margaritas,positive,180
Food_and_Drink,Lunch,This is one of my top lunch spots,positive,181
Food_and_Drink,Portion size,Huge portions,positive,181
Service,Speed,Fast service,positive,181
Food_and_Drink,Margaritas,Amazing margaritas,positive,181
Atmosphere,Crowd,it gets really busy,negative,182
Atmosphere,Wait,"so get there on the early side so you can grab a seat , if you do have to wait , its not bad",neutral,182
Service,Speed,because the service is quick,positive,182
Design_Features,Art,check out the art on the walls,positive,183
Design_Features,Color,very colorful,positive,183
General,Place,this place,positive,184
Food,Meal,i have never had one bad meal,negative,185
Food,Indian,i highly recommend this place to all that want to try indain food for the first time,positive,186
Food_Menu,Lunch,the lunch menu,positive,187
Food_Quality,Food,plenty of food,positive,188
Food_Quantity,Food,plenty of food,positive,188
Food,Ingredients,fresh ingredients,positive,189
Food,Taste,super tasty,positive,189
Food,Food,best food,positive,190
Service,Service,phenominal service,positive,190
Food,Sushi,for the finicky sushi eater and those who have sampled the best nyc has to offer,positive,191
Service,Service,the service is superb,positive,191
Food,Sushi,"not only can the selection be innovative, but there's a nice balance of traditional sushi as well.",positive,192
Service,Waiter,the nicest waiters in town,positive,193
Atmosphere,Place,this place,negative,194
Food_Quality,Brunch,average brunch food,negative,195
Service,Waiting,i would put murphy ' s at the top of the list,negative,195
Food,Menu,the regular menu here is slightly above average,positive,196
Service,Attitude,that is not worth the snotty attitude that you receive,negative,196
Food,Sushi,you're a sushi fan,positive,197
Food,Sushi,you love expertly cut fish,positive,197
Food,Sushi,great sake,positive,197
Food,Sushi,a killer soho location,positive,197
Food,Sushi,"and of course: salmon, tuna, fluke, yellow tail, cod, mackeral, jellyfish, sea urchin, shrimp, lobster, sea bream, trout, milk fish, blue fin tuna, eel, crab, sardine, monk fish, roe, scallop, oysters, and a varity of toro",positive,197
Location,East Coast,the east coast,positive,198
Location,All,it all,positive,198
Location,More,a lot more,positive,198
Food_Dining,Sushi,the best sushi restaurant in the world : blue ribbon sushi,positive,199
Food,Tuna,the best tuna,positive,200
Food_Quality,Sushi,great value sushi,positive,202
Food_Quality,Sushi,high quality,positive,202
Restaurant_Ambiance,Setting,nice setting,positive,202
Food,Sushi,try the chef's choice for sushi,positive,203
Food,Sushi,the smoked yellowtail was incredible,positive,203
Food,Sushi,the rolls were also tasty,positive,203
Customer_Service,Customer Service,poor customer service,negative,204
Food,Pizza,poor pizza,negative,204
Service,Service,mioposto's service was bad,negative,205
Food,Food,the food was overpriced,negative,205
Food,Pizza,but mioposto's pizza lacks quality and good taste,negative,206
Food,Frozen Pizza,"to be honest, i've had better frozen pizza.",negative,207
Location,Mioposto,the only positive thing about mioposto is the nice location,positive,208
Food,Restaurant,this place is fantastic,positive,209
Food,Restaurant,it has not let us down in any way,positive,209
Food,Restaurant,we ' ve eaten here more than 10 times,positive,209
Food,Food,the food is fantastic,positive,210
Service,Waiting Staff,waiting staff has been perfect every single time we ' ve been there,positive,210
Operation_Performance,Wait,the only problem would be the wait,negative,211
Service,Wait,but we usually just have a drink in the front while waiting,positive,211
Food,Seabass,seabass on lobster risotto,positive,212
Food,Caesar Salad,Caesar salad was superb,positive,213
Food,Dessert,leave room for dessert,positive,215
Service,Service,i waited for 10 - 15 minutes for service,negative,216
Service,Service,ordered a beer & was never served again,negative,216
Food,Food,the food was ok,positive,217
Service,Service,but the service was so poor that the food was cold by the time everyone in my party was served,negative,217
Atmosphere,Cozy,the atmosphere was cozy,positive,219
Service,Service,the service was horrible,negative,219
Service,Service,we left without ever getting service,negative,220
Food,Crab Cakes,best crab cakes in town,positive,221
Taste,Cakes,something about these little devils gets better every time,positive,222
Location,place,this place,neutral,223
Transportation,boat,by boat,positive,223
Food_Quality,Fish,great seasonal fish,positive,224
Food_Quality,Seafood,and seafood,positive,224
Atmosphere,Waterfront,with a classy waterfront setting,positive,224
Food,Pizza,great pizza,positive,225
Service,Service,poor service,negative,225
Food,Pizza,love their pizza,positive,226
Food,Pizza,especially the mushroom pizza,positive,226
Food,Caesar Salad,also love their caeser salad,positive,227
Service,Servers,"i do n ' t like the servers , one young woman in particular",negative,228
Food_Quality,Breakfast,this place is famous for their breakfast,positive,229
Food_Quality,Pizza,great pizza,positive,230
Service,Service,poor service,negative,230
Atmosphere,Service,if the service were n't so impersonal and corporate-like,negative,231
Food,Breakfast,great breakfast,positive,232
Food_Quality,Food,the food is great,positive,233
Food_Preparation,Bloody Mary,they make a mean bloody mary,positive,233
Food,Breakfast,breakfast here,positive,234
Food_Quality,Eggs Benedict,crab eggs benedict,positive,235
Food_Menu,Menu,all their menu items are a hit,positive,236
Food_Menu,Mimosas,and they serve mimosas,positive,236
Food,Chinese food,best chinese food,positive,237
Atmosphere,restaurant,the ambiance of the restaurant was nice,positive,238
Atmosphere,restaurant,good for fine dinning,positive,238
Service,Staff,the staff was very nice and courteous,positive,239
Service,Staff,and obviously chinese,neutral,239
Food,Prawns,they were fresh and had a slight crispiness about the batter,positive,240
Food,Walnuts,the walnuts were cut in smaller pieces and very crunchy and tasty,positive,240
Food,Honey Walnut Prawns,best honey walnut prawns that we have ever tasted,positive,241
Food,Brocollis,the brocollis were so fresh and tasty,positive,242
Food_Quality,Brocolli,i would normally not finish the brocolli when i order these kinds of food,negative,243
Food_Quality,Scallops and prawns,every piece was as eventful as the first one,positive,243
Food_Quality,Scallops and prawns,so fresh and nicely cooked,positive,243
Food,Portion size,chintzy portions,negative,244
Food,Sushi,the sushi here is perfectly good,positive,245
Price,Sushi,$5 a piece,negative,245
Food,Sushi,slices of fish should be larger,negative,245
Price,Restaurant,no pretense that this is a moderately priced restaurant,negative,245
Service,Service,terrible service,negative,246
Food,Food,food ok,positive,246
Price,Price,pricey,negative,246
Food,Food,"food wise, its ok",positive,247
Food,Price,but a bit pricey for what you get,negative,247
Restaurant,Restaurant,considering the restaurant isn't a fancy place,negative,247
Location,Beach,the location to the beach,positive,248
Location,Golden Gate Park,or golden gate park,positive,248
Atmosphere,Restaurant,the open feel of the restaurant with glass walls on all sides,positive,249
Food,Mackeral,amazing spanish mackeral special appetizer,positive,250
Food,Sushi,perfect box sushi,positive,250
Food,Eel,that eel with avodcao - - um um um,positive,250
Food,Freshness,as usual the omikase did n ' t disappoint in freshness,positive,251
Food,Creativity,although it scored low on creativity,negative,251
Food,Selection,and selection,negative,251
Food_Quality,Specialty Rolls,their specialty rolls are impressive,positive,252
Food_Quality,Specialty Rolls,i ca n ' t remember what we had,neutral,252
Food_Quality,Green Tea Creme Brulee,green tea creme brulee gets better each time i have it,positive,253
Food_and_Drink,Sake,great selection of sakes,positive,254
Price,Sushi,it is n't the cheapest sushi,negative,255
Taste,Sushi,but has been worth it every time,positive,255
Customer_Service,Customer Service,very poor customer service,negative,256
Location,Charming location,charming location along the marina in long beach,positive,257
Food,Average food,average food does not,neutral,257
Customer Service,Very poor customer service,very poor customer service,negative,257
Food,Diner,this diner had reasonably good food,positive,258
Service,Restaurant Staff,the restaurant staff seemed completely indifferent to our presence,negative,258
Service,Attitude,this attitude was reflected in the lack of service,negative,258
Quality,Fish,The fish was fresh,positive,259
Quality,Cutting,though it was cut very thin,negative,259
Service,Service,great service,positive,260
Food,Dungeness Crab,Dungeness crabs here !,positive,262
Food_Quality,Seafood,high quality seafood dinners,positive,263
Food_Variety,Dinners,seafood dinners,neutral,263
Food,Dungeness Crabs,I love Dungeness crabs,positive,264
Food,Dungeness Crabs,and at Ray's you can get them served in about 6 different ways!,positive,264
Food,Family Platter,we shared the family platter,positive,265
Food,Black Cod,i especially enjoyed the black cod in sake kasu,positive,265
Food_Dining,Dessert,i ended the meal with the unusual dessert of a port and chocolate tasting,positive,266
Service,Service,and the service was simply splendid,positive,267
Food_and_Drinks,Drinks,great drinks,positive,268
Food_and_Drinks,Food,"corn beef hash, coffee, b fast burritos, gluten free menu",positive,268
Service,Service,the service is fantastic,positive,269
Atmosphere,Place,at this fun place,positive,269
Location,Neighborhood,best neighborhood,positive,271
Food_Quality,Standalone,standby,neutral,271
Location,Grammercy,in grammercy,positive,272
Location,Union Square,union square,positive,272
Location,East Village,east village,positive,272
Food,Favorite Spot,this is my neighbors and my favorite spot,positive,272
Music,Music,the music is great,positive,273
Nightlife,Nightlife,no night better or worse,neutral,273
Service,Bar,the bar tenders are generous with the pouring,positive,273
Atmosphere,Atmosphere,and the lighthearted atmosphere will lifts you spirits,positive,273
Food,Cheese Fries,the cheese fries are awesome,positive,274
Food,Food,good food,positive,275
Service,Service,great service,positive,275
Price,Price,average prices,neutral,275
Atmosphere,Decor,i was taken aback by their incredible wood decor,positive,276
Sound,music,"the music playing was very hip, 20-30 something pop music",positive,277
Sound,subwoofer,"but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner",negative,277
Food,Shellfish,i got the shellfish and shrimp appetizer,positive,278
Food,Shrimp,and shrimp appetizer,positive,278
Taste,Appetizer,and it was alright,neutral,278
Food_Quality,Seafood,it wasn't the freshest seafood ever,negative,279
Food_Quality,Taste,but the taste,positive,279
Food_Quality,Presentation,and presentation was ok,positive,279
Food,Asparagus,i picked the asparagus,positive,280
Food,Asparagus,which turned out to be incredible,positive,280
Food,Asparagus,and perfectly prepared,positive,280
Food,Steak,the 9 oz steak came next and it tasted great,positive,281
Food,Steak,at least initially,positive,281
Food_Quality,Steak,the steak was done to my exact liking ( medium rare ) and was nice and juicy,positive,282
Food_Quality,Sauce,with either a peppercorn sauce or red wine reduction,negative,283
Food_Quality,Taste,both were indistinguishable in taste,negative,283
Food,Restaurant,the restaurant either used msg or a meat tenderizer on the steak,negative,284
Food,Dinner,the desert was the perfect ending to an almost perfect dinner,positive,285
Food,Restaurant,i would go back and eat at the restaurant again,positive,286
Service,Servers,the servers were extremely attentive and very friendly,positive,287
Food_and_Drink,Japanese food,good food - I honestly do n't know much about Japanese food at all.,positive,288
Food_and_Drink,Sake,good sake,positive,288
Service,Server,server made several sake suggestions which were very good,positive,289
Food,Lobster,lobster 3 ways,positive,290
Service,Waiter,the waiter was a bit unfriendly,negative,291
Atmosphere,Restaurant,the feel of the restaurant was crowded,negative,291
Design_Features,Bathroom,only one bathroom stall,negative,292
General,Crowds,for such big crowds,negative,292
Food,Creativity,after seeing the very creative menu,positive,293
Food,Food,the food was good,positive,294
Food,Price,definately overpriced,negative,294
Price,Food,for the amount of food we got,negative,295
Food,Pizza,my favortie pizza joint in seattle is zeeks pizza,positive,296
Food_Quality,restaurant,they always enjoy and rave about it,positive,297
Food,Pizza,the pizza is delicious,positive,298
Food,Salad,the salads are fantastic,positive,298
Service,Wait Staff,the wait staff,positive,299
Service,Cooks,the cooks,positive,299
Atmosphere,Decor,the simplicity of the decor,positive,300
Atmosphere,Size,intimate feeling of a small restaurant,positive,300
Food_Dining,Restaurant,mioposto cafe,positive,301
Food,Pizza,we ' re ca n ' t say enough about their delicious gourmet pizza ’ s !,positive,302
Food_Menu,Menu,you won't be disappointed by their menu,positive,303
Food,Pizza,the pizza ' s are thin crust,positive,304
Food,Pizza,the menu offers very creative combinations and toppings,positive,304
Food,Pizza,try the pizza,positive,305
Food,Ensalata,try the ensalata,positive,305
Food_Quality,Pizza,the pizza ' s are not huge,negative,306
Food_Quality,Pizza,the crust is thin,negative,306
Service,Ordering,keep that in mind when you ' re ordering,neutral,306
Food,Food,the food is sinful,negative,307
Staff,Friendly,the staff was really friendly,positive,308
Atmosphere,atmosphere,the atmosphere was great,positive,309
Food_Quality,Pancakes,the specialty here is decadent pancakes,positive,310
Food_Quality,Pancakes,i've been wowed every time,positive,310
Food,Menu,nothing on the menu,positive,311
Food,Eats,good eats,positive,312
Experience,Place,i have been to this place,negative,313
Recommendation,Place,it is bad,negative,313
Food_Quality,Fish,when the chefs decide to use fish that ' s half - way decent,neutral,314
Food,Dinner,spent tons of money on a chef special dinner,negative,315
Atmosphere,Atmosphere,the atmosphere is great,positive,316
Atmosphere,Occasion,for any special occasion you might want to celebrate,positive,316
Food,Dish,the best dish are the honey walnut prawns,positive,317
Food,Fish,fancy pieces of exotic fish,negative,318
Food,Price,$ 100 dollar plate,negative,318
Service,Service,the service is really attentive and charming,positive,319
Service,Service,the service was excellent,positive,320
Food_Drink,Coffee,the coffee was good even by starbucks standards,positive,320
Food_Drink,Food,and the food was outstanding,positive,320
