text,term_true,cat_true,pol_true,analysis,term,cat,pol,seg
– i highly recommend mioposto .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Recommendation', 'aspect': 'Restaurant', 'segment': 'i highly recommend mioposto', 'sentiment': 'positive', 'review_id': 19}]",['Restaurant'],['Recommendation'],[2],['i highly recommend mioposto']
i am so happy to have a wonderful italian restaurant in my neighborhood .,"['RESTAURANT', 'RESTAURANT']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'i am so happy to have a wonderful italian restaurant in my neighborhood', 'sentiment': 'positive', 'review_id': 20}]",['Restaurant'],['General'],[2],['i am so happy to have a wonderful italian restaurant in my neighborhood']
the wine list is wonderful and the food reminds me of my recent trip to italy .,"['DRINKS', 'FOOD']","['STYLE_OPTIONS', 'QUALITY']","['2', '2']","[{'category': 'Style_Options', 'aspect': 'Drinks', 'segment': 'the wine list is wonderful', 'sentiment': 'positive', 'review_id': 21}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'the food reminds me of my recent trip to italy', 'sentiment': 'positive', 'review_id': 21}]","['Drinks', 'Food']","['Style_Options', 'Quality']","[2, 2]","['the wine list is wonderful', 'the food reminds me of my recent trip to italy']"
i love this restaurant,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'i love this restaurant', 'sentiment': 'positive', 'review_id': 22}]",['Restaurant'],['General'],[2],['i love this restaurant']
"– i will never forget the amazing meal , service , and ambiance i experience at this restaurant .","['FOOD', 'SERVICE', 'AMBIENCE']","['QUALITY', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'amazing meal', 'sentiment': 'positive', 'review_id': 23}, {'category': 'General', 'aspect': 'Service', 'segment': 'amazing service', 'sentiment': 'positive', 'review_id': 23}, {'category': 'General', 'aspect': 'Ambience', 'segment': 'amazing ambiance', 'sentiment': 'positive', 'review_id': 23}]","['Food', 'Service', 'Ambience']","['Quality', 'General', 'General']","[2, 2, 2]","['amazing meal', 'amazing service', 'amazing ambiance']"
"the wine list is incredible and extensive and diverse , the food is all incredible and the staff was all very nice , good at their jobs and cultured .","['DRINKS', 'DRINKS', 'DRINKS', 'FOOD', 'SERVICE', 'SERVICE']","['STYLE_OPTIONS', 'STYLE_OPTIONS', 'STYLE_OPTIONS', 'QUALITY', 'GENERAL', 'GENERAL']","['2', '2', '2', '2', '2', '2']","[{'category': 'Style_Options', 'aspect': 'Drinks', 'segment': 'the wine list is incredible and extensive and diverse', 'sentiment': 'positive', 'review_id': 24}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'the food is all incredible', 'sentiment': 'positive', 'review_id': 24}, {'category': 'General', 'aspect': 'Service', 'segment': 'the staff was all very nice , good at their jobs and cultured', 'sentiment': 'positive', 'review_id': 24}]","['Drinks', 'Food', 'Service']","['Style_Options', 'Quality', 'General']","[2, 2, 2]","['the wine list is incredible and extensive and diverse', 'the food is all incredible', 'the staff was all very nice , good at their jobs and cultured']"
i have not a bad thing to say about this place .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'i have not a bad thing to say about this place', 'sentiment': 'positive', 'review_id': 25}]",['Restaurant'],['General'],[2],['i have not a bad thing to say about this place']
the food was great !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the food was great', 'sentiment': 'positive', 'review_id': 26}]",['Food'],['Quality'],[2],['the food was great']
"it ' s * very * reasonably priced , esp for the quality of the food .","['FOOD', 'FOOD']","['QUALITY', 'PRICES']","['2', '2']","[{'category': 'Prices', 'aspect': 'Food', 'segment': ""it ' s * very * reasonably priced"", 'sentiment': 'positive', 'review_id': 27}]",['Food'],['Prices'],[2],"[""it ' s * very * reasonably priced""]"
i had the kafta plate and it was perfect .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'i had the kafta plate and it was perfect', 'sentiment': 'positive', 'review_id': 28}]",['Food'],['Quality'],[2],['i had the kafta plate and it was perfect']
"– in a age of incremental cost cutting in restaurants , its nice to see a place that bucks that trend , and just plain delivers high quality food and good service , period .","['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'high quality food', 'sentiment': 'positive', 'review_id': 29}, {'category': 'General', 'aspect': 'Service', 'segment': 'good service', 'sentiment': 'positive', 'review_id': 29}]","['Food', 'Service']","['Quality', 'General']","[2, 2]","['high quality food', 'good service']"
this is the place to relax and enjoy the finest quality food the industry can offer .,"['AMBIENCE', 'AMBIENCE', 'FOOD']","['GENERAL', 'GENERAL', 'QUALITY']","['2', '2', '2']","[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'this is the place to relax', 'sentiment': 'positive', 'review_id': 30}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'enjoy the finest quality food the industry can offer', 'sentiment': 'positive', 'review_id': 30}]","['Restaurant', 'Food']","['General', 'Quality']","[2, 2]","['this is the place to relax', 'enjoy the finest quality food the industry can offer']"
caution - its real food for people who love the best .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'its real food for people who love the best', 'sentiment': 'positive', 'review_id': 31}]",['Food'],['Quality'],[2],['its real food for people who love the best']
i liked the atmosphere very much but the food was not worth the price .,"['AMBIENCE', 'FOOD', 'FOOD']","['GENERAL', 'QUALITY', 'PRICES']","['2', '0', '0']","[{'category': 'General', 'aspect': 'Ambience', 'segment': 'i liked the atmosphere very much', 'sentiment': 'positive', 'review_id': 32}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'the food was not worth the price', 'sentiment': 'negative', 'review_id': 32}]","['Ambience', 'Food']","['General', 'Quality']","[2, 0]","['i liked the atmosphere very much', 'the food was not worth the price']"
i may not be a sushi guru but i can tell you that the food here is just okay and that there is not much else to it .,['FOOD'],['QUALITY'],['0'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'food here is just okay', 'sentiment': 'neutral', 'review_id': 33}, {'category': 'Style_Options', 'aspect': 'Food', 'segment': 'not much else to it', 'sentiment': 'negative', 'review_id': 33}]","['Food', 'Food']","['Quality', 'Style_Options']","[1, 0]","['food here is just okay', 'not much else to it']"
"rice is too dry , tuna was n ' t so fresh either .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['0', '0']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'rice is too dry', 'sentiment': 'negative', 'review_id': 34}, {'category': 'Quality', 'aspect': 'Food', 'segment': ""tuna was n ' t so fresh either"", 'sentiment': 'negative', 'review_id': 34}]","['Food', 'Food']","['Quality', 'Quality']","[0, 0]","['rice is too dry', ""tuna was n ' t so fresh either""]"
i have eaten here three times and have found the quality and variety of the fish to be excellent .,"['FOOD', 'FOOD']","['QUALITY', 'STYLE_OPTIONS']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'quality and variety of the fish to be excellent', 'sentiment': 'positive', 'review_id': 35}]",['Food'],['Quality'],[2],['quality and variety of the fish to be excellent']
"however , the value and service are both severely lacking .","['SERVICE', 'RESTAURANT']","['GENERAL', 'PRICES']","['0', '0']","[{'category': 'Value', 'aspect': 'Restaurant', 'segment': 'value and service are both severely lacking', 'sentiment': 'negative', 'review_id': 36}]",['Restaurant'],['Value'],[0],['value and service are both severely lacking']
"furthermore , while the fish is unquestionably fresh , rolls tend to be inexplicably bland .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '0']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the fish is unquestionably fresh', 'sentiment': 'positive', 'review_id': 37}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'rolls tend to be inexplicably bland', 'sentiment': 'negative', 'review_id': 37}]","['Food', 'Food']","['Quality', 'Quality']","[2, 0]","['the fish is unquestionably fresh', 'rolls tend to be inexplicably bland']"
the service ranges from mediocre to offensive .,"['SERVICE', 'SERVICE']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'General', 'aspect': 'Service', 'segment': 'the service ranges from mediocre to offensive', 'sentiment': 'negative', 'review_id': 38}]",['Service'],['General'],[0],['the service ranges from mediocre to offensive']
"on a recent trip , our waiter was extremely dismissive , while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby .","['SERVICE', 'SERVICE']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'General', 'aspect': 'Service', 'segment': 'our waiter was extremely dismissive', 'sentiment': 'negative', 'review_id': 39}, {'category': 'General', 'aspect': 'Service', 'segment': 'three staff members waited hand - and - foot on a pair of japanese girls seated nearby', 'sentiment': 'positive', 'review_id': 39}]","['Service', 'Service']","['General', 'General']","[0, 2]","['our waiter was extremely dismissive', 'three staff members waited hand - and - foot on a pair of japanese girls seated nearby']"
freshest sushi – i love this restaurant .,"['FOOD', 'RESTAURANT']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'freshest sushi', 'sentiment': 'positive', 'review_id': 40}, {'category': 'General', 'aspect': 'Restaurant', 'segment': 'i love this restaurant', 'sentiment': 'positive', 'review_id': 40}]","['Food', 'Restaurant']","['Quality', 'General']","[2, 2]","['freshest sushi', 'i love this restaurant']"
they pay such detail to everything from miso soup to complex rolls .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'they pay such detail to everything from miso soup to complex rolls', 'sentiment': 'positive', 'review_id': 41}]",['Food'],['Quality'],[2],['they pay such detail to everything from miso soup to complex rolls']
the sashimi was the freshest and most tender i have ever tasted .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the sashimi was the freshest and most tender i have ever tasted', 'sentiment': 'positive', 'review_id': 42}]",['Food'],['Quality'],[2],['the sashimi was the freshest and most tender i have ever tasted']
their apps are all delicious .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'their apps are all delicious', 'sentiment': 'positive', 'review_id': 43}]",['Food'],['Quality'],[2],['their apps are all delicious']
the only drawback is that this place is really expensive and the portions are on the small side .,"['RESTAURANT', 'FOOD']","['PRICES', 'STYLE_OPTIONS']","['0', '0']","[{'category': 'Prices', 'aspect': 'Restaurant', 'segment': 'this place is really expensive', 'sentiment': 'negative', 'review_id': 44}, {'category': 'Style_Options', 'aspect': 'Food', 'segment': 'portions are on the small side', 'sentiment': 'negative', 'review_id': 44}]","['Restaurant', 'Food']","['Prices', 'Style_Options']","[0, 0]","['this place is really expensive', 'portions are on the small side']"
"but the space is small and lovely , and the service is helpful .","['AMBIENCE', 'AMBIENCE', 'SERVICE']","['GENERAL', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'General', 'aspect': 'Ambience', 'segment': 'the space is small and lovely', 'sentiment': 'positive', 'review_id': 45}, {'category': 'General', 'aspect': 'Service', 'segment': 'the service is helpful', 'sentiment': 'positive', 'review_id': 45}]","['Ambience', 'Service']","['General', 'General']","[2, 2]","['the space is small and lovely', 'the service is helpful']"
– the food was not great & the waiters were rude .,"['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['0', '0']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the food was not great', 'sentiment': 'negative', 'review_id': 46}, {'category': 'General', 'aspect': 'Service', 'segment': 'the waiters were rude', 'sentiment': 'negative', 'review_id': 46}]","['Food', 'Service']","['Quality', 'General']","[0, 0]","['the food was not great', 'the waiters were rude']"
great service,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'great service', 'sentiment': 'positive', 'review_id': 47}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'wonderful food', 'sentiment': 'positive', 'review_id': 47}, {'category': 'General', 'aspect': 'Ambience', 'segment': 'perfect view', 'sentiment': 'positive', 'review_id': 47}]","['Service', 'Food', 'Ambience']","['General', 'Quality', 'General']","[2, 2, 2]","['great service', 'wonderful food', 'perfect view']"
my service was stellar !,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'my service was stellar', 'sentiment': 'positive', 'review_id': 48}]",['Service'],['General'],[2],['my service was stellar']
the bus boy even spotted that my table was shaking a stabilized it for me .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Service', 'segment': 'the bus boy even spotted that my table was shaking and stabilized it for me', 'sentiment': 'positive', 'review_id': 49}]",['Service'],['General'],[2],['the bus boy even spotted that my table was shaking and stabilized it for me']
"food was fine , with a some little - tastier - than - normal salsa .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'food was fine', 'sentiment': 'positive', 'review_id': 50}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'with a some little - tastier - than - normal salsa', 'sentiment': 'positive', 'review_id': 50}]","['Food', 'Food']","['Quality', 'Quality']","[2, 2]","['food was fine', 'with a some little - tastier - than - normal salsa']"
"the food was great , the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me .","['FOOD', 'FOOD', 'SERVICE']","['QUALITY', 'QUALITY', 'GENERAL']","['2', '2', '0']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the food was great', 'sentiment': 'positive', 'review_id': 51}, {'category': 'Quality', 'aspect': 'Drinks', 'segment': 'the margaritas too', 'sentiment': 'positive', 'review_id': 51}, {'category': 'General', 'aspect': 'Service', 'segment': 'the waitress was too busy being nice to her other larger party', 'sentiment': 'negative', 'review_id': 51}]","['Food', 'Drinks', 'Service']","['Quality', 'Quality', 'General']","[2, 2, 0]","['the food was great', 'the margaritas too', 'the waitress was too busy being nice to her other larger party']"
mama mia – i live in the neighborhood and feel lucky to live by such a great pizza place .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Location', 'segment': 'i live in the neighborhood', 'sentiment': 'positive', 'review_id': 52}, {'category': 'General', 'aspect': 'Pizza', 'segment': 'great pizza place', 'sentiment': 'positive', 'review_id': 52}]","['Location', 'Pizza']","['General', 'General']","[2, 2]","['i live in the neighborhood', 'great pizza place']"
"the only problem is you really have to warm up the pizza before it ' s edible , even when you order ahead .",['FOOD'],['QUALITY'],['0'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': ""you really have to warm up the pizza before it ' s edible"", 'sentiment': 'negative', 'review_id': 53}]",['Food'],['Quality'],[0],"[""you really have to warm up the pizza before it ' s edible""]"
"but once done , it ' s not too much dough , not too much cheese , not too much sauce .",['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'not too much dough , not too much cheese , not too much sauce', 'sentiment': 'positive', 'review_id': 54}]",['Food'],['Quality'],[2],"['not too much dough , not too much cheese , not too much sauce']"
best sushi in town .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'best sushi in town', 'sentiment': 'positive', 'review_id': 55}]",['Food'],['Quality'],[2],['best sushi in town']
the best calamari in seattle !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the best calamari in seattle', 'sentiment': 'positive', 'review_id': 56}]",['Food'],['Quality'],[2],['the best calamari in seattle']
– . . . and the best summertime deck experience - - they will even bring you a blanket if you get cold in the seattle evening weather .,"['AMBIENCE', 'SERVICE']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'the best summertime deck experience', 'sentiment': 'positive', 'review_id': 57}, {'category': 'General', 'aspect': 'Service', 'segment': 'they will even bring you a blanket if you get cold in the seattle evening weather', 'sentiment': 'positive', 'review_id': 57}]","['Restaurant', 'Service']","['General', 'General']","[2, 2]","['the best summertime deck experience', 'they will even bring you a blanket if you get cold in the seattle evening weather']"
a perfect place to take out of town guests any time of the year .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'a perfect place to take out of town guests any time of the year', 'sentiment': 'positive', 'review_id': 58}]",['Restaurant'],['General'],[2],['a perfect place to take out of town guests any time of the year']
"endless fun , awesome music , great staff ! ! !","['AMBIENCE', 'SERVICE', 'RESTAURANT']","['GENERAL', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'endless fun', 'sentiment': 'positive', 'review_id': 59}, {'category': 'General', 'aspect': 'Restaurant', 'segment': 'awesome music', 'sentiment': 'positive', 'review_id': 59}, {'category': 'General', 'aspect': 'Service', 'segment': 'great staff', 'sentiment': 'positive', 'review_id': 59}]","['Restaurant', 'Restaurant', 'Service']","['General', 'General', 'General']","[2, 2, 2]","['endless fun', 'awesome music', 'great staff']"
– by far the best bar in the east village . . .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Bar', 'segment': 'by far the best bar in the east village', 'sentiment': 'positive', 'review_id': 60}]",['Bar'],['General'],[2],['by far the best bar in the east village']
great draft and bottle selection and the pizza rocks .,"['DRINKS', 'FOOD']","['STYLE_OPTIONS', 'QUALITY']","['2', '2']","[{'category': 'Style_Options', 'aspect': 'Drinks', 'segment': 'great draft and bottle selection', 'sentiment': 'positive', 'review_id': 61}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'the pizza rocks', 'sentiment': 'positive', 'review_id': 61}]","['Drinks', 'Food']","['Style_Options', 'Quality']","[2, 2]","['great draft and bottle selection', 'the pizza rocks']"
definitely has one of the best jukebox ' s i ' ve seen in a long long time .,['AMBIENCE'],['GENERAL'],['2'],"[{'category': 'Style_Options', 'aspect': 'Jukebox', 'segment': ""one of the best jukebox ' s i ' ve seen in a long long time"", 'sentiment': 'positive', 'review_id': 62}]",['Jukebox'],['Style_Options'],[2],"[""one of the best jukebox ' s i ' ve seen in a long long time""]"
"the food is great , the bartenders go that extra mile .","['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the food is great', 'sentiment': 'positive', 'review_id': 63}, {'category': 'General', 'aspect': 'Service', 'segment': 'the bartenders go that extra mile', 'sentiment': 'positive', 'review_id': 63}]","['Food', 'Service']","['Quality', 'General']","[2, 2]","['the food is great', 'the bartenders go that extra mile']"
the owners are great fun and the beer selection is worth staying for .,"['SERVICE', 'SERVICE', 'DRINKS']","['GENERAL', 'GENERAL', 'STYLE_OPTIONS']","['2', '2', '2']","[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'the owners are great fun', 'sentiment': 'positive', 'review_id': 64}, {'category': 'Style_Options', 'aspect': 'Drinks', 'segment': 'the beer selection is worth staying for', 'sentiment': 'positive', 'review_id': 64}]","['Restaurant', 'Drinks']","['General', 'Style_Options']","[2, 2]","['the owners are great fun', 'the beer selection is worth staying for']"
and the upstairs is a great place to hang out .,['AMBIENCE'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'upstairs is a great place to hang out', 'sentiment': 'positive', 'review_id': 65}]",['Restaurant'],['General'],[2],['upstairs is a great place to hang out']
"not alot of smoking places left in new york , but i have found my favorite smoking balconey in the city .",['RESTAURANT'],['MISCELLANEOUS'],['2'],"[{'category': 'General', 'aspect': 'Restaurant', 'segment': 'not alot of smoking places left in new york', 'sentiment': 'negative', 'review_id': 66}, {'category': 'General', 'aspect': 'Restaurant', 'segment': 'but i have found my favorite smoking balcony in the city', 'sentiment': 'positive', 'review_id': 66}]","['Restaurant', 'Restaurant']","['General', 'General']","[0, 2]","['not alot of smoking places left in new york', 'but i have found my favorite smoking balcony in the city']"
the sushi here is delicious !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'the sushi here is delicious', 'sentiment': 'positive', 'review_id': 67}]",['Food'],['Quality'],[2],['the sushi here is delicious']
they have a wide variety of fish and they even list which oceans they come from ; atlantic or pacific .,['FOOD'],['STYLE_OPTIONS'],['2'],"[{'category': 'Style_Options', 'aspect': 'Food', 'segment': 'they have a wide variety of fish', 'sentiment': 'positive', 'review_id': 68}, {'category': 'Quality', 'aspect': 'Food', 'segment': 'they even list which oceans they come from', 'sentiment': 'positive', 'review_id': 68}]","['Food', 'Food']","['Style_Options', 'Quality']","[2, 2]","['they have a wide variety of fish', 'they even list which oceans they come from']"
"i ' ve had the jellyfish , horse mackerel , blue fin tuna and the sake ikura roll among others , and they were all good .","['FOOD', 'FOOD', 'FOOD', 'FOOD']","['QUALITY', 'QUALITY', 'QUALITY', 'QUALITY']","['2', '2', '2', '2']","[{'category': 'Quality', 'aspect': 'Food', 'segment': 'jellyfish , horse mackerel , blue fin tuna and the sake ikura roll among others , and they were all good', 'sentiment': 'positive', 'review_id': 69}]",['Food'],['Quality'],[2],"['jellyfish , horse mackerel , blue fin tuna and the sake ikura roll among others , and they were all good']"
my only negative comment is that i wish the pieces were a little bigger .,['FOOD'],['STYLE_OPTIONS'],['0'],"[{'category': 'Quality', 'aspect': 'Food', 'segment': 'pieces were a little bigger', 'sentiment': 'negative', 'review_id': 70}]",['Food'],['Quality'],[0],['pieces were a little bigger']
